x,TCP,UDP,Batman-adv-orig
0,0,92,22
1,11,84,32
2,0,88,8
3,26,94,0
4,10,88,2
5,179,84,22
6,22,84,32
7,11,88,8
8,69,94,0
9,10,84,2
10,38,90,22
11,0,88,32
12,0,88,8
13,0,96,0
14,11,86,0
15,113,86,24
16,11,90,32
17,0,88,8
18,29,84,0
19,11,84,0
20,54,86,24
21,24,88,32
22,13,90,8
23,61,92,0
24,12,84,0
25,149,90,24
26,0,88,32
27,0,88,8
28,0,88,0
29,13,92,0
30,0,88,24
31,12,86,32
32,0,92,8
33,22,100,0
34,11,90,0
35,194,84,24
36,34,98,32
37,12,84,8
38,64,88,0
39,11,96,0
40,36,96,24
41,0,86,32
42,0,90,1
43,0,92,7
44,12,94,0
45,104,84,24
46,12,84,25
47,0,84,8
48,25,86,7
49,10,90,0
50,48,90,24
51,24,84,11
52,11,88,22
53,74,96,7
54,12,84,0
55,179,84,24
56,0,88,11
57,0,84,21
58,0,88,8
59,12,96,0
60,0,86,24
61,11,88,10
62,0,86,22
63,26,86,8
64,13,88,0
65,227,96,24
66,23,88,8
67,13,90,24
68,62,84,8
69,11,96,0
70,38,84,24
71,0,92,8
72,0,84,24
73,0,88,8
74,14,88,0
75,260,86,24
76,12,86,4
77,0,84,28
78,30,94,8
79,12,90,0
80,52,92,24
81,22,94,1
82,11,84,31
83,61,86,8
84,18,90,0
85,148,88,24
86,0,88,1
87,0,84,31
88,0,88,8
89,12,90,0
90,0,90,24
91,13,86,0
92,0,86,32
93,24,92,8
94,15,88,0
95,175,86,24
96,26,84,0
97,12,96,32
98,66,86,8
99,11,82,0
