"Protocol","Percent Packets","Packets","Percent Bytes","Bytes","Bits/s","End Packets","End Bytes","End Bits/s","PDUs"
"Frame",100,7386,100,1657809,59027.551164915436,0,0,0,7386
"Ethernet",100,7386,11.867591501795442,196742,7005.148645765461,0,0,0,14053
"Internet Protocol Version 4",90.26536691037097,6667,8.043146104285837,133340,4747.672181976225,0,0,0,6667
"User Datagram Protocol",78.68941240184132,5812,2.804665676202747,46496,1655.525467025398,0,0,0,5812
"Real-time Transport Control Protocol",0.013539128080151638,1,0.007721034208403984,128,4.557537417826285,0,0,0,1
"Malformed Packet",0.013539128080151638,1,0,0,0,1,0,0,1
"Data",78.67587327376117,5811,67.24061698301794,1114721,39690.489593255734,5811,1114721,39690.489593255734,5811
"Transmission Control Protocol",11.575954508529652,855,3.412455837795548,56572,2014.2891156349108,274,8796,313.18827443125,855
"Malformed Packet",0.013539128080151638,1,0,0,0,1,0,0,1
"Data",7.85269428648795,580,1.7596719525590705,29172,1038.6912621314718,580,29172,1038.6912621314718,580
"B.A.T.M.A.N. Advanced Protocol",100,7386,6.623802862694074,109810,3909.8686238398777,719,43140,1536.0325328517652,7386

